,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Team
0,1,Austin Wells*,24,C,2.5,115,414,354,42,81,18,1,13,55,1,2,47,87,.229,.322,.395,.718,103,.318,104,140,9,5,1,7,0,*2H/D,ROY-3,NYY
1,2,Anthony Rizzo*,34,1B,0.2,92,375,337,38,77,12,0,8,35,0,0,27,65,.228,.301,.335,.637,81,.297,88,113,7,9,0,2,0,3/H,,NYY
2,3,Gleyber Torres,27,2B,1.8,154,665,587,80,151,26,0,15,63,4,3,65,136,.257,.330,.378,.709,101,.318,103,222,6,3,2,8,0,*4/H,,NYY
3,4,Anthony Volpe,23,SS,3.4,160,689,637,90,155,27,7,12,60,28,7,42,156,.243,.293,.364,.657,86,.296,84,232,9,4,2,3,1,*6/H,,NYY
4,5,Oswaldo Cabrera#,25,3B,1.3,108,326,299,47,74,11,0,8,36,4,2,21,63,.247,.296,.365,.661,87,.300,90,109,6,1,2,3,0,5H34/6791,,NYY
5,6,Alex Verdugo*,28,LF,0.8,149,621,559,74,130,28,1,13,61,2,1,49,93,.233,.291,.356,.647,83,.288,81,199,14,1,2,10,0,*79/8,,NYY
6,7,Aaron Judge,32,CF,10.8,158,704,559,122,180,36,1,58,144,10,0,133,171,.322,.458,.701,1.159,223,.484,223,392,22,9,0,2,20,*8D/97,"AS,MVP-1,SS",NYY
7,8,Juan Soto*,25,RF,7.9,157,713,576,128,166,31,4,41,109,7,4,129,119,.288,.419,.569,.989,178,.424,179,328,10,4,0,4,2,*9/7DH,"AS,MVP-3,SS",NYY
8,9,Giancarlo Stanton,34,DH,0.7,114,459,417,49,97,20,0,27,72,0,0,38,143,.233,.298,.475,.773,115,.330,112,198,17,2,0,2,2,*D/H,,NYY
9,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,NYY
10,10,Jose Trevino,31,C,0.6,73,234,209,26,45,5,0,8,28,1,0,20,41,.215,.288,.354,.642,81,.287,80,74,12,2,1,2,0,2/H1,,NYY
11,11,DJ LeMahieu,35,CI,-1.6,67,228,201,19,41,5,0,2,26,0,1,19,35,.204,.269,.259,.527,51,.244,51,52,13,1,1,6,0,35/H,,NYY
12,12,Trent Grisham*,27,CF,0.4,76,209,179,21,34,8,0,9,31,1,1,22,57,.190,.290,.385,.675,90,.306,95,69,5,4,1,2,1,8H/D,,NYY
13,13,Jazz Chisholm Jr.*,26,3B,1.5,46,191,176,28,48,7,0,11,23,18,2,14,45,.273,.325,.500,.825,130,.373,130,88,2,0,0,1,0,5/8,,NYY
14,14,Ben Rice*,25,1B,-0.4,50,178,152,20,26,6,0,7,23,0,1,20,48,.171,.264,.349,.613,72,.275,74,53,2,1,0,5,0,3/H2,,NYY
15,15,Jon Berti,34,3B,0.6,25,74,66,10,18,0,0,1,6,5,1,6,14,.273,.342,.318,.661,90,.334,108,21,2,1,1,0,0,5/H47D,,NYY
16,16,Jasson DomÃ­nguez#,21,OF,-0.1,18,67,56,8,10,1,0,2,4,5,0,11,19,.179,.313,.304,.617,77,.315,88,17,0,0,0,0,0,7/8HD,,NYY
17,17,Jahmai Jones,26,UT,0.0,33,47,42,8,10,1,1,1,4,1,1,2,16,.238,.304,.381,.685,93,.293,89,16,0,2,1,0,0,H/9D745,,NYY
18,18,J.D. Davis,31,1B,-0.2,7,22,19,1,2,1,0,0,1,0,0,3,9,.105,.227,.158,.385,13,.191,12,3,2,0,0,0,0,/3DH,,NYY
19,19,Carlos NarvÃ¡ez,25,C,0.1,6,15,13,0,3,0,0,0,0,0,0,2,6,.231,.333,.231,.564,65,.270,69,3,0,0,0,0,0,/2H,,NYY
20,20,Oswald Peraza,24,3B,0.1,4,11,10,2,2,0,0,1,1,0,0,1,3,.200,.273,.500,.773,113,.329,110,5,0,0,0,0,0,/5,,NYY
21,21,Taylor Trammell*,26,OF,-0.1,5,2,1,2,1,0,0,0,0,0,0,1,0,1.000,1.000,1.000,2.000,472,.790,435,1,0,0,0,0,0,/H79D,,NYY
22,22,Duke Ellis*,26,LF,0.1,3,1,1,0,1,0,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000,473,1.142,536,1,0,0,0,0,0,/H7,,NYY
23,23,Kevin Smith,27,DH,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/HD,,NYY
24,,Team Totals,,,30.4,162,6245,5450,815,1352,243,15,237,782,88,26,672,1326,.248,.333,.429,.761,115,.338,116,2336,138,49,14,57,26,,,NYY
0,1,Adley Rutschman#,26,C,3.4,148,638,571,68,143,21,1,19,79,1,0,58,103,.250,.318,.391,.709,107,.313,107,223,9,2,0,7,3,2D/H,AS,BAL
1,2,Ryan Mountcastle,27,1B,2.6,124,507,473,54,128,30,2,13,63,3,0,27,114,.271,.308,.425,.733,113,.323,114,201,13,1,0,6,0,*3H/D,,BAL
2,3,Jackson Holliday*,20,2B,0.1,60,208,190,28,36,4,2,5,23,4,0,15,69,.189,.255,.311,.565,66,.265,70,59,1,2,0,1,0,4/H6D,,BAL
3,4,Gunnar Henderson*,23,SS,9.1,159,719,630,118,177,31,7,37,92,21,4,78,159,.281,.364,.529,.893,159,.385,157,333,2,7,0,4,1,*6/D,"AS,MVP-4",BAL
4,5,RamÃ³n UrÃ­as,30,3B,1.5,100,301,272,39,69,9,2,11,37,1,1,23,55,.254,.322,.423,.745,117,.326,117,115,0,5,0,1,0,5/H4D3,,BAL
5,6,Colton Cowser*,24,LF,3.1,153,561,499,77,121,24,3,24,69,9,4,52,172,.242,.321,.447,.768,123,.329,119,223,9,7,0,3,2,*789H/D,ROY-2,BAL
6,7,Cedric Mullins*,29,CF,2.6,147,499,444,69,104,16,3,18,54,32,6,41,98,.234,.305,.405,.710,107,.322,107,180,1,5,2,2,0,*8H/D,,BAL
7,8,Anthony Santander#,29,RF,2.9,155,665,595,91,140,25,2,44,102,2,0,58,129,.235,.308,.506,.814,134,.346,131,301,9,7,0,5,3,*9D/3H,"AS,MVP-14,SS",BAL
8,9,Ryan O'Hearn*,30,DH,1.9,142,494,443,60,117,21,3,15,59,3,1,46,69,.264,.334,.427,.761,122,.337,125,189,7,2,0,3,2,3DH9/7,,BAL
9,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,BAL
10,10,Jordan Westburg,25,IF,2.4,107,447,416,57,110,26,5,18,63,6,3,22,97,.264,.312,.481,.792,129,.340,127,200,5,7,1,1,0,54/6D,AS,BAL
11,11,James McCann,34,C,0.8,65,233,214,27,50,9,0,8,31,1,0,13,56,.234,.279,.388,.667,94,.293,93,83,3,2,0,4,0,2/1,,BAL
12,12,Jorge Mateo,29,2B,0.9,68,208,192,30,44,14,2,5,18,13,2,10,48,.229,.267,.401,.668,93,.294,87,77,3,1,2,3,0,4/6H8D,,BAL
13,13,Austin Hays,28,LF,0.2,63,175,157,18,40,13,0,3,14,0,1,9,40,.255,.316,.395,.711,108,.316,112,62,1,6,1,2,1,7H/9D,,BAL
14,14,Heston Kjerstad*,25,OF,0.4,39,114,99,8,25,2,0,4,14,1,0,10,33,.253,.351,.394,.745,119,.336,123,39,0,5,0,0,2,D7H/9,,BAL
15,15,Eloy JimÃ©nez,27,DH,-0.2,33,100,95,7,22,5,0,1,7,0,0,4,23,.232,.270,.316,.586,72,.276,81,30,2,1,0,0,0,D/H,,BAL
16,16,Austin Slater,31,OF,0.5,33,79,69,10,17,3,0,1,6,1,1,8,23,.246,.342,.333,.675,100,.311,109,23,2,2,0,0,0,79H/8,,BAL
17,17,Emmanuel Rivera,28,3B,0.2,27,73,64,9,20,3,1,4,14,0,0,6,18,.313,.370,.578,.948,173,.392,165,37,2,1,0,2,0,5/3HD,,BAL
18,18,Coby Mayo,22,CI,-0.7,17,46,41,4,4,0,0,0,0,0,0,4,22,.098,.196,.098,.293,-10,.153,-7,4,1,1,0,0,0,5/H3,,BAL
19,19,Kyle Stowers*,26,OF,0.2,19,37,36,3,11,4,0,1,9,0,1,0,13,.306,.297,.500,.797,129,.346,141,18,0,0,0,1,0,/97HD,,BAL
20,20,Connor Norby,24,2B,0.1,9,32,32,3,6,1,0,2,3,0,0,0,12,.188,.188,.406,.594,68,.247,60,13,1,0,0,0,0,/4,,BAL
21,21,LivÃ¡n Soto*,24,IF,0.2,12,13,10,1,3,1,0,0,0,0,0,3,2,.300,.462,.400,.862,157,.392,164,4,0,0,0,0,0,/456DH,,BAL
22,22,Tony Kemp*,32,UT,-0.2,5,10,9,1,0,0,0,0,0,0,0,1,1,.000,.100,.000,.100,-67,.069,-67,0,0,0,0,0,0,/4H7,,BAL
23,23,Ryan McKenna,27,OF,0.1,9,9,8,3,3,0,0,2,2,0,1,1,1,.375,.444,1.125,1.569,341,.563,326,9,0,0,0,0,0,/9H78,,BAL
24,24,Nick Maton*,27,IF,-0.1,5,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-116,0,0,0,0,0,0,/5H4D,,BAL
25,25,David BaÃ±uelos,27,,,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,/H,,BAL
26,26,Cristian Pache,25,RF,0.1,3,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,493,.795,464,1,0,0,0,0,0,/9H,,BAL
27,27,Daniel Johnson*,28,RF,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,/9H,,BAL
28,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,BAL
29,28,Jacob Webb,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,BAL
30,29,Danny Coulombe*,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,BAL
31,30,Mike Baumann,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,BAL
32,31,Albert SuÃ¡rez,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,BAL
33,32,Seranthony DomÃ­nguez,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,BAL
34,33,Jonathan Heasley,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,BAL
35,34,Craig Kimbrel,36,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,BAL
36,,Team Totals,,,31.8,162,6176,5567,786,1391,262,33,235,759,98,25,489,1359,.250,.315,.435,.751,118,.329,118,2424,71,64,6,45,14,,,BAL
0,1,Connor Wong,28,C,1.6,126,487,447,54,125,24,1,13,52,8,7,28,114,.280,.333,.425,.758,110,.327,107,190,7,9,1,2,1,23DH/47,,BOS
1,2,Dominic Smith*,29,1B,0.0,84,278,249,29,59,20,0,6,34,1,1,25,65,.237,.317,.390,.706,96,.314,96,97,7,4,0,0,0,3H/D1,,BOS
2,3,Enmanuel ValdÃ©z*,25,2B,-0.6,76,223,201,23,43,12,0,6,28,1,1,17,53,.214,.270,.363,.633,74,.277,70,73,4,0,1,4,0,4H/D57,,BOS
3,4,Ceddanne Rafaela,23,SS,2.8,152,571,544,70,134,23,5,15,75,19,10,15,151,.246,.274,.390,.664,82,.299,85,212,8,7,2,3,1,864/5H9,,BOS
4,5,Rafael Devers*,27,3B,3.7,138,601,525,87,143,34,5,28,83,3,0,67,147,.272,.354,.516,.871,139,.368,134,271,13,3,0,6,14,*5/D,"AS,MVP-13",BOS
5,6,Tyler O'Neill,29,LF,2.6,113,473,411,74,99,18,0,31,61,4,0,53,159,.241,.336,.511,.847,132,.365,131,210,13,7,0,2,5,79D/H,,BOS
6,7,Jarren Duran*,27,CF,8.7,160,735,671,111,191,48,14,21,75,34,7,54,160,.285,.342,.492,.834,129,.373,134,330,6,6,1,3,1,*87,"AS,MVP-8",BOS
7,8,Wilyer Abreu*,25,RF,3.4,132,447,399,59,101,33,2,15,58,8,3,40,125,.253,.322,.459,.781,114,.339,112,183,7,3,0,5,0,*9H/78D,"ROY-6,GG",BOS
8,9,Masataka Yoshida*,30,DH,1.4,108,421,378,45,106,21,0,10,56,2,0,27,52,.280,.349,.415,.765,112,.341,114,157,6,14,0,2,0,DH/7,,BOS
9,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,BOS
10,10,David Hamilton*,26,MI,2.6,98,317,294,47,73,17,1,8,28,33,4,22,80,.248,.303,.395,.697,92,.331,95,116,1,1,0,0,0,64H,,BOS
11,11,Rob Refsnyder,33,OF,0.8,93,307,272,32,77,16,1,11,40,2,2,28,78,.283,.359,.471,.830,129,.354,126,128,6,5,0,1,2,79HD,,BOS
12,12,Triston Casas*,24,1B,0.6,63,243,212,28,51,8,0,13,32,0,1,30,77,.241,.337,.462,.800,120,.340,116,98,6,1,0,0,4,3/HD,,BOS
13,13,Romy GonzÃ¡lez,27,IF,0.9,89,216,199,25,53,10,1,6,29,11,3,12,58,.266,.306,.417,.723,99,.326,100,83,5,1,0,4,0,H4635/97D8,,BOS
14,14,Reese McGuire*,29,C,0.1,53,158,139,10,29,3,0,3,18,3,0,13,39,.209,.280,.295,.575,61,.269,60,41,4,2,1,3,0,2/HD,,BOS
15,15,Vaughn Grissom,23,2B,-0.2,31,114,105,10,20,3,0,0,6,2,0,7,24,.190,.246,.219,.465,31,.234,35,23,3,1,0,1,0,4/DH,,BOS
16,16,Trevor Story,31,SS,0.7,26,106,94,8,24,7,0,2,10,6,3,11,33,.255,.340,.394,.733,104,.325,104,37,2,1,0,0,2,6,,BOS
17,17,Danny Jansen,29,C,0.1,30,96,80,8,15,0,0,3,6,0,0,15,19,.188,.323,.300,.623,75,.307,90,24,3,1,0,0,0,2/HD,,BOS
18,18,Bobby Dalbec,29,CI,-0.8,37,93,83,6,11,2,0,1,8,3,0,8,43,.133,.217,.193,.410,16,.196,4,16,1,1,1,0,0,35/H9D,,BOS
19,19,Nick Sogard#,26,IF,0.3,31,86,77,13,21,4,0,0,8,3,0,7,25,.273,.326,.325,.650,82,.299,79,25,4,0,0,2,0,4/65H3,,BOS
20,20,Garrett Cooper,33,DH,-0.9,24,75,70,3,12,4,0,0,5,0,0,3,22,.171,.227,.229,.455,28,.207,19,16,2,2,0,0,0,3/DH,,BOS
21,21,Pablo Reyes,30,IF,-0.7,21,64,60,4,11,2,0,0,5,1,2,3,19,.183,.234,.217,.451,27,.196,20,13,1,1,0,0,0,5/436H1,,BOS
22,22,Jamie Westbrook,29,2B,-0.1,21,48,40,4,6,2,0,2,7,0,0,4,14,.150,.234,.350,.584,60,.271,63,14,0,1,0,2,0,4/H59D,,BOS
23,23,Mickey Gasper#,28,IF,-0.2,13,23,18,1,0,0,0,0,0,0,0,4,8,.000,.217,.000,.217,-32,.151,-22,0,1,1,0,0,0,/4HD3,,BOS
24,24,Zack Short,29,IF,-0.2,2,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,.000,-130,0,0,0,0,0,0,/45,,BOS
25,25,Tyler Heineman#,33,DH,0.1,2,3,2,0,0,0,0,0,0,0,0,0,1,.000,.333,.000,.333,5,.239,41,0,0,1,0,0,0,/2D,,BOS
26,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,BOS
27,26,Josh Winckowski,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,BOS
28,27,Chris Martin,38,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,BOS
29,28,Chase Shugart*,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,BOS
30,29,Zach Penrod*,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,BOS
31,30,Kenley Jansen#,36,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,BOS
32,31,Isaiah Campbell,26,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,BOS
33,32,Brennan Bernardino*,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,BOS
34,33,Chase Anderson,36,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,BOS
35,,Team Totals,,,26.8,162,6192,5577,751,1404,311,30,194,724,144,44,493,1570,.252,.319,.423,.741,104,.328,104,2357,110,73,7,40,30,,,BOS
0,1,Ben Rortvedt*,26,C,0.9,112,328,290,27,66,13,0,3,31,1,0,34,88,.228,.317,.303,.621,80,.287,83,88,6,4,0,0,0,*2H/1,,TBR
1,2,Yandy DÃ­az,32,1B,1.6,145,621,563,55,158,31,1,14,65,0,0,50,95,.281,.341,.414,.755,116,.336,119,233,12,4,0,4,0,*3D/H,,TBR
2,3,Brandon Lowe*,29,2B,2.4,107,425,385,56,94,19,3,21,58,5,1,33,112,.244,.311,.473,.783,121,.339,120,182,7,5,0,2,2,4D3H,,TBR
3,4,JosÃ© Caballero,27,SS,1.6,139,483,441,53,100,24,1,9,44,44,16,27,133,.227,.283,.347,.630,80,.292,83,153,6,9,3,3,1,654H/D,,TBR
4,5,Isaac Paredes,25,3B,2.4,101,429,363,41,89,19,1,16,55,0,1,52,68,.245,.357,.435,.792,127,.349,129,158,13,12,0,2,2,53D/H,AS,TBR
5,6,Randy Arozarena,29,LF,0.7,100,409,350,45,74,19,0,15,37,16,7,45,101,.211,.318,.394,.712,104,.316,104,138,3,11,0,3,0,7/8HD,,TBR
6,7,Jose Siri,28,CF,1.8,130,448,402,50,75,16,1,18,47,14,7,31,170,.187,.255,.366,.620,76,.272,73,147,5,7,2,4,0,*8/H3D,,TBR
7,8,Josh Lowe*,26,RF,0.7,106,387,353,37,85,19,2,10,34,25,1,32,123,.241,.302,.391,.693,98,.315,93,138,2,0,0,2,4,97/HD8,,TBR
8,9,Harold RamÃ­rez,29,DH,0.1,48,169,164,21,44,3,0,1,13,5,2,3,33,.268,.284,.305,.589,70,.267,69,50,2,1,0,1,0,D/H97,,TBR
9,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,TBR
10,10,Jonny DeLuca,25,OF,0.6,107,362,332,29,72,12,4,6,31,16,6,24,77,.217,.278,.331,.609,75,.279,76,110,1,4,2,0,1,98H7/D,,TBR
11,11,Richie Palacios*,27,UT,1.8,92,316,264,46,59,8,1,5,21,19,1,45,67,.223,.346,.318,.664,94,.318,96,84,5,5,0,1,2,497H/D56,,TBR
12,12,Amed Rosario,28,UT,0.5,76,275,264,22,81,17,3,2,26,9,4,7,48,.307,.331,.417,.748,114,.333,116,110,9,3,0,1,0,4956DH,,TBR
13,13,Taylor Walls#,27,SS,1.4,84,252,218,27,40,5,3,1,14,16,4,31,67,.183,.282,.248,.529,55,.251,53,54,3,0,0,3,0,6/HD,,TBR
