,Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Team,WAR,W,L,W-L%,ERA,GS,GF,CG,SHO,SV,IP,ER,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
11,11,Joe Mantiply*,33,75,,,27,52,,,1,,,,18,53,,,,,,,0,,,7,RP,,ARI,0.6,6,2,.750,3.92,2,8,0,0,1,59.2,26,1,3,243,107,2.51,1.173,7.8,0.2,2.7,8.0,2.94
12,Rk,Player,Age,G,,,R,H,,,HR,,,,BB,SO,,,,,,,HBP,,,IBB,Pos,Awards,ARI,WAR,W,L,W-L%,ERA,GS,GF,CG,SHO,SV,IP,ER,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
13,12,Bryce Jarvis,26,44,,,25,52,,,6,,,,33,38,,,,,,,5,,,4,,,ARI,0.8,1,2,.333,3.19,0,17,0,0,0,59.1,21,0,4,258,132,5.12,1.433,7.9,0.9,5.0,5.8,1.15
14,13,Eduardo RodrÃ­guez*,31,10,,,29,56,,,8,,,,19,47,,,,,,,1,,,1,,,ARI,0.2,3,4,.429,5.04,10,0,0,0,0,50.0,28,0,0,224,84,4.57,1.500,10.1,1.4,3.4,8.5,2.47
15,14,Tommy Henry*,26,9,,,31,49,,,9,,,,18,30,,,,,,,4,,,0,,,ARI,-0.8,2,3,.400,7.04,7,1,0,0,0,38.1,30,0,0,182,60,6.37,1.748,11.5,2.1,4.2,7.0,1.67
16,15,Scott McGough,34,26,,,30,34,,,6,,,,21,25,,,,,,,1,,,0,,,ARI,-1.1,1,3,.250,7.44,2,7,0,0,0,32.2,27,1,1,150,57,6.04,1.684,9.4,1.7,5.8,6.9,1.19
17,16,Yilber DÃ­az,23,7,,,13,27,,,3,,,,12,19,,,,,,,0,,,0,,,ARI,0.3,1,1,.500,3.81,4,1,0,0,0,28.1,12,0,1,119,111,4.47,1.376,8.6,1.0,3.8,6.0,1.58
18,17,Logan Allen*,27,12,,,17,32,,,3,,,,10,21,,,,,,,2,,,0,,,ARI,-0.1,0,1,.000,5.46,0,4,0,0,1,28.0,17,0,0,128,77,4.34,1.500,10.3,1.0,3.2,6.8,2.10
19,18,A.J. Puk*,29,30,,,4,15,,,2,,,,5,43,,,,,,,1,,,2,,,ARI,1.3,0,1,.000,1.32,0,5,0,0,2,27.1,4,0,0,103,322,1.63,0.732,4.9,0.7,1.6,14.2,8.60
20,19,Blake Walston*,23,7,,,12,16,,,4,,,,10,18,,,,,,,3,,,0,,,ARI,-0.1,1,0,1.000,4.42,2,3,0,0,0,18.1,9,0,0,83,96,6.17,1.418,7.9,2.0,4.9,8.8,1.80
21,20,Brandon Hughes*,28,15,,,16,24,,,8,,,,10,21,,,,,,,2,,,0,,,ARI,-0.4,0,0,,8.15,2,4,0,0,0,17.2,16,0,1,89,52,8.71,1.925,12.2,4.1,5.1,10.7,2.10
22,21,Dylan Floro,33,15,,,17,23,,,4,,,,4,8,,,,,,,1,,,0,,,ARI,-0.8,3,1,.750,9.37,0,2,0,0,0,16.1,17,0,0,75,46,6.29,1.653,12.7,2.2,2.2,4.4,2.00
23,22,Thyago Vieira,31,11,,,6,11,,,2,,,,9,14,,,,,,,0,,,0,,,ARI,0.2,0,1,.000,2.87,0,4,0,0,0,15.2,5,1,2,66,149,4.76,1.277,6.3,1.1,5.2,8.0,1.56
24,23,Miguel Castro,29,11,,,9,20,,,3,,,,3,8,,,,,,,1,,,0,,,ARI,-0.1,0,0,,5.93,0,2,0,0,0,13.2,9,0,0,64,72,5.73,1.683,13.2,2.0,2.0,5.3,2.67
25,24,Kyle Nelson*,27,11,,,5,8,,,2,,,,4,8,,,,,,,0,,,1,,,ARI,0.1,0,0,,4.22,0,4,0,0,0,10.2,5,0,0,42,102,5.23,1.125,6.8,1.7,3.4,6.8,2.00
26,25,Humberto Castellanos,26,7,,,6,11,,,0,,,,4,7,,,,,,,2,,,0,,,ARI,-0.1,0,0,,5.23,0,4,0,0,1,10.1,6,0,1,48,83,3.55,1.452,9.6,0.0,3.5,6.1,1.75
27,26,Matt Bowman,33,4,,,6,8,,,1,,,,2,4,,,,,,,0,,,0,,,ARI,-0.1,0,0,,8.10,0,1,0,0,0,6.2,6,0,0,31,54,4.82,1.500,10.8,1.4,2.7,5.4,2.00
28,27,Luis FrÃ­as,26,7,,,8,11,,,1,,,,4,7,,,,,,,0,,,0,,,ARI,-0.4,0,1,.000,9.95,0,4,0,0,0,6.1,7,0,1,31,44,4.90,2.368,15.6,1.4,5.7,9.9,1.75
29,28,Cristian Mena,21,1,,,4,4,,,2,,,,3,2,,,,,,,0,,,0,,,ARI,-0.2,0,0,,12.00,1,0,0,0,0,3.0,4,1,0,15,39,13.50,2.333,12.0,6.0,9.0,6.0,0.67
30,29,Joe Jacques*,29,1,,,2,3,,,1,,,,1,0,,,,,,,0,,,0,,,ARI,-0.1,0,0,,13.50,0,0,0,0,0,1.1,2,0,0,7,39,15.17,3.000,20.3,6.8,6.8,0.0,0.00
31,30,Andrew Saalfrank*,26,2,,,4,2,,,0,,,,4,0,,,,,,,0,,,1,,,ARI,-0.3,0,0,,36.00,0,1,0,0,0,1.0,4,0,1,8,16,15.17,6.000,18.0,0.0,36.0,0.0,0.00
32,31,Pavin Smith*,28,1,,,0,0,,,0,,,,1,0,,,,,,,1,,,0,,,ARI,0.0,0,0,,0.00,0,1,0,0,0,1.0,0,0,0,5,,9.17,1.000,0.0,0.0,9.0,0.0,0.00
33,32,Tucker Barnhart,33,1,,,2,4,,,1,,,,0,0,,,,,,,0,,,0,,,ARI,-0.1,0,0,,18.00,0,1,0,0,0,1.0,2,0,0,7,32,16.17,4.000,36.0,9.0,0.0,0.0,
34,,Team Totals,,162,,,788,1468,,,181,,,,481,1313,,,,,,,54,,,32,,,ARI,6.3,89,73,.549,4.63,162,162,0,0,38,1443.1,742,8,49,6195,91,4.09,1.350,9.2,1.1,3.0,8.2,2.73
0,1,Logan Webb,27,33,,,83,202,,,11,,,,50,172,,,,,,,2,,,3,SP,"AS,CYA-6",SFG,3.7,13,10,.565,3.47,33,0,1,1,0,204.2,79,1,4,841,111,2.95,1.231,8.9,0.5,2.2,7.6,3.44
1,2,Kyle Harrison*,22,24,,,65,125,,,18,,,,42,118,,,,,,,7,,,0,SP,,SFG,0.6,7,7,.500,4.56,24,0,0,0,0,124.1,63,1,2,532,85,4.33,1.343,9.0,1.3,3.0,8.5,2.81
2,3,Jordan Hicks,27,29,,,54,112,,,12,,,,47,96,,,,,,,9,,,0,SP,,SFG,0.9,4,7,.364,4.10,20,2,0,0,1,109.2,50,2,7,481,94,4.37,1.450,9.2,1.0,3.9,7.9,2.04
3,4,Blake Snell*,31,20,,,38,65,,,6,,,,44,145,,,,,,,1,,,0,SP,,SFG,2.1,5,3,.625,3.12,20,0,1,1,0,104.0,36,0,8,418,124,2.43,1.048,5.6,0.5,3.8,12.5,3.30
4,5,Hayden Birdsong,22,16,,,39,57,,,11,,,,43,88,,,,,,,4,,,0,SP,,SFG,0.2,5,6,.455,4.75,16,0,0,0,0,72.0,38,0,4,315,81,4.67,1.389,7.1,1.4,5.4,11.0,2.05
5,6,Keaton Winn,26,12,,,44,56,,,9,,,,20,48,,,,,,,4,,,0,SP,,SFG,-1.1,3,8,.273,7.16,12,0,0,0,0,55.1,44,0,1,238,54,4.85,1.373,9.1,1.5,3.3,7.8,2.40
6,Rk,Player,Age,G,,,R,H,,,HR,,,,BB,SO,,,,,,,HBP,,,IBB,Pos,Awards,SFG,WAR,W,L,W-L%,ERA,GS,GF,CG,SHO,SV,IP,ER,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
7,7,Camilo Doval,26,62,,,35,54,,,5,,,,39,78,,,,,,,2,,,2,CL,,SFG,-0.5,5,3,.625,4.88,0,40,0,0,23,59.0,32,0,7,271,79,3.71,1.576,8.2,0.8,5.9,11.9,2.00
8,8,Ryan Walker,28,76,,,19,50,,,5,,,,18,99,,,,,,,9,,,1,RP,,SFG,2.8,10,4,.714,1.91,1,22,0,0,10,80.0,17,0,2,308,202,2.52,0.850,5.6,0.6,2.0,11.1,5.50
9,9,Tyler Rogers,33,77,,,23,67,,,7,,,,6,51,,,,,,,7,,,2,RP,,SFG,1.5,3,4,.429,2.82,0,13,0,0,1,70.1,22,0,1,290,137,3.56,1.038,8.6,0.9,0.8,6.5,8.50
10,10,Erik Miller*,26,73,,,33,50,,,7,,,,38,87,,,,,,,1,,,0,RP,,SFG,0.4,4,5,.444,3.88,10,11,0,0,0,67.1,29,0,1,284,100,3.67,1.307,6.7,0.9,5.1,11.6,2.29
11,11,Taylor Rogers*,33,64,,,22,53,,,7,,,,22,64,,,,,,,2,,,0,RP,,SFG,1.1,1,4,.200,2.40,0,16,0,0,0,60.0,16,0,0,249,161,3.75,1.250,8.0,1.1,3.3,9.6,2.91
12,Rk,Player,Age,G,,,R,H,,,HR,,,,BB,SO,,,,,,,HBP,,,IBB,Pos,Awards,SFG,WAR,W,L,W-L%,ERA,GS,GF,CG,SHO,SV,IP,ER,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
13,12,Sean Hjelle,27,58,,,37,84,,,10,,,,14,75,,,,,,,5,,,2,,,SFG,0.6,3,4,.429,3.90,0,12,0,0,0,80.2,35,0,0,337,99,3.62,1.215,9.4,1.1,1.6,8.4,5.36
14,13,Randy RodrÃ­guez,24,35,,,29,47,,,4,,,,18,53,,,,,,,3,,,0,,,SFG,-0.2,3,2,.600,4.30,1,8,0,0,0,52.1,25,0,4,221,90,3.34,1.242,8.1,0.7,3.1,9.1,2.94
15,14,Landen Roupp,25,23,,,21,43,,,2,,,,26,47,,,,,,,1,,,0,,,SFG,0.6,1,2,.333,3.58,4,3,0,0,0,50.1,20,2,3,217,108,3.42,1.371,7.7,0.4,4.6,8.4,1.81
16,15,Spencer Bivens,30,27,,,20,47,,,9,,,,11,37,,,,,,,1,,,1,,,SFG,0.6,3,1,.750,3.14,2,8,0,0,1,48.2,17,0,0,202,123,4.79,1.192,8.7,1.7,2.0,6.8,3.36
17,16,Mason Black,24,9,,,26,46,,,7,,,,15,31,,,,,,,3,,,0,,,SFG,-0.6,1,5,.167,6.44,8,0,0,0,0,36.1,26,0,0,169,60,5.45,1.679,11.4,1.7,3.7,7.7,2.07
18,17,Luke Jackson,32,36,,,22,35,,,5,,,,15,33,,,,,,,1,,,0,,,SFG,-0.3,4,2,.667,5.40,0,7,0,0,0,35.0,21,0,3,151,72,4.51,1.429,9.0,1.3,3.9,8.5,2.20
19,18,Robbie Ray*,32,7,,,16,20,,,6,,,,15,43,,,,,,,6,,,0,,,SFG,0.0,3,2,.600,4.70,7,0,0,0,0,30.2,16,0,4,129,83,4.96,1.141,5.9,1.8,4.4,12.6,2.87
20,19,Spencer Howard,27,7,,,16,33,,,2,,,,11,21,,,,,,,0,,,0,,,SFG,-0.2,1,1,.500,5.63,2,1,0,0,0,24.0,15,0,0,114,70,3.87,1.833,12.4,0.8,4.1,7.9,1.91
21,20,Tristan Beck,28,7,,,3,14,,,2,,,,4,14,,,,,,,1,,,0,,,SFG,0.5,0,0,,1.69,1,2,0,0,0,16.0,3,0,0,67,234,3.98,1.125,7.9,1.1,2.3,7.9,3.50
22,21,Nick Avila,26,8,,,12,17,,,2,,,,3,14,,,,,,,0,,,0,,,SFG,-0.3,1,0,1.000,8.49,0,4,0,0,0,11.2,11,0,0,55,47,3.77,1.714,13.1,1.5,2.3,10.8,4.67
23,22,Kai-Wei Teng,25,4,,,12,15,,,2,,,,8,7,,,,,,,1,,,0,,,SFG,-0.3,0,0,,9.82,0,0,0,0,0,11.0,12,0,1,55,41,6.71,2.091,12.3,1.6,6.5,5.7,0.88
24,23,Austin Warren,28,6,,,2,9,,,1,,,,5,7,,,,,,,0,,,0,,,SFG,0.3,0,0,,1.69,0,3,0,0,0,10.2,2,0,0,42,237,4.48,1.313,7.6,0.8,4.2,5.9,1.40
25,24,Mitch White,29,3,,,7,8,,,1,,,,5,1,,,,,,,0,,,0,,,SFG,-0.2,0,0,,11.81,0,2,0,0,0,5.1,7,0,1,29,35,8.04,2.438,13.5,1.7,8.4,1.7,0.20
26,25,Daulton Jefferies,28,2,,,13,14,,,2,,,,2,4,,,,,,,0,,,0,,,SFG,-0.6,0,2,.000,17.36,1,0,0,0,0,4.2,9,0,0,31,24,8.31,3.429,27.0,3.9,3.9,7.7,2.00
27,26,Trevor McDonald,23,1,,,0,0,,,0,,,,1,1,,,,,,,0,,,0,,,SFG,0.1,0,0,,0.00,0,1,0,0,0,3.0,0,0,0,10,,3.50,0.333,0.0,0.0,3.0,3.0,1.00
28,27,Tyler Fitzgerald,26,3,,,3,6,,,0,,,,0,0,,,,,,,0,,,0,,,SFG,-0.1,0,0,,9.00,0,3,0,0,0,3.0,3,0,0,14,48,3.17,2.000,18.0,0.0,0.0,0.0,
29,28,Mike Yastrzemski*,33,1,,,2,2,,,0,,,,3,0,,,,,,,0,,,0,,,SFG,-0.1,0,0,,18.00,0,1,0,0,0,1.0,2,0,0,8,30,12.17,5.000,18.0,0.0,27.0,0.0,0.00
30,29,Donovan Walton,30,1,,,0,2,,,0,,,,0,0,,,,,,,0,,,0,,,SFG,0.0,0,0,,0.00,0,1,0,0,0,1.0,0,0,0,5,,3.17,2.000,18.0,0.0,0.0,0.0,
31,30,Raymond Burgos*,25,1,,,1,3,,,0,,,,1,1,,,,,,,0,,,0,,,SFG,-0.1,0,0,,9.00,0,0,0,0,0,1.0,1,0,0,7,60,4.17,4.000,27.0,0.0,9.0,9.0,1.00
32,31,Mike Baumann,28,1,,,2,3,,,0,,,,0,1,,,,,,,0,,,0,,,SFG,-0.1,0,0,,27.00,0,0,0,0,0,0.2,2,0,0,5,23,0.17,4.500,40.5,0.0,0.0,13.5,
33,,Team Totals,,162,,,699,1339,,,153,,,,526,1436,,,,,,,70,,,11,,,SFG,11.2,80,82,.494,4.10,162,160,2,2,36,1433.2,653,6,53,6095,95,3.80,1.301,8.4,1.0,3.3,9.0,2.73
0,1,Austin Gomber*,30,30,,,89,178,,,30,,,,38,116,,,,,,,1,,,0,SP,,COL,2.1,5,12,.294,4.75,30,0,0,0,0,165.0,87,0,3,696,97,4.83,1.309,9.7,1.6,2.1,6.3,3.05
1,2,Ryan Feltner,27,30,,,94,165,,,20,,,,52,138,,,,,,,7,,,0,SP,,COL,1.1,3,10,.231,4.49,30,0,0,0,0,162.1,81,0,4,692,102,4.16,1.337,9.1,1.1,2.9,7.7,2.65
2,3,Cal Quantrill,29,29,,,83,156,,,23,,,,69,110,,,,,,,11,,,0,SP,,COL,1.6,8,11,.421,4.98,29,0,0,0,0,148.1,82,1,6,656,93,5.32,1.517,9.5,1.4,4.2,6.7,1.59
3,4,Kyle Freeland*,31,21,,,73,134,,,22,,,,26,85,,,,,,,1,,,0,SP,,COL,0.0,5,8,.385,5.24,21,0,0,0,0,113.1,66,0,1,490,88,4.90,1.412,10.6,1.7,2.1,6.8,3.27
4,5,Dakota Hudson,29,18,,,66,99,,,11,,,,50,49,,,,,,,5,,,0,SP,,COL,-0.9,2,12,.143,6.17,18,0,0,0,0,89.0,61,0,3,404,75,5.53,1.674,10.0,1.1,5.1,5.0,0.98
5,6,Ty Blach*,33,20,,,55,103,,,17,,,,18,36,,,,,,,6,,,0,SP,,COL,-0.8,3,8,.273,6.94,12,4,0,0,0,71.1,55,0,1,330,67,6.26,1.696,13.0,2.1,2.3,4.5,2.00
6,Rk,Player,Age,G,,,R,H,,,HR,,,,BB,SO,,,,,,,HBP,,,IBB,Pos,Awards,COL,WAR,W,L,W-L%,ERA,GS,GF,CG,SHO,SV,IP,ER,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
7,7,Tyler Kinley,33,67,,,44,61,,,11,,,,33,72,,,,,,,2,,,2,CL,,COL,-0.3,6,1,.857,6.19,0,25,0,0,12,64.0,44,0,6,285,75,4.79,1.469,8.6,1.5,4.6,10.1,2.18
8,8,Victor Vodnik,24,64,,,37,72,,,7,,,,37,65,,,,,,,1,,,1,RP,,COL,0.8,5,4,.556,4.28,0,19,0,0,9,73.2,35,0,4,320,108,4.18,1.480,8.8,0.9,4.5,7.9,1.76
9,9,Justin Lawrence,29,56,,,52,73,,,9,,,,33,45,,,,,,,7,,,1,RP,,COL,-1.7,4,4,.500,6.49,0,21,0,0,2,59.2,43,0,3,279,71,5.63,1.777,11.0,1.4,5.0,6.8,1.36
10,10,Jalen Beeks*,30,45,,,29,49,,,6,,,,18,38,,,,,,,1,,,1,RP,,COL,0.2,6,4,.600,4.74,0,21,0,0,9,49.1,26,0,5,211,97,4.36,1.358,8.9,1.1,3.3,6.9,2.11
11,11,Nick Mears,27,41,,,30,47,,,2,,,,21,57,,,,,,,0,,,1,RP,,COL,-0.1,1,4,.200,5.56,0,11,0,0,0,45.1,28,0,3,203,83,2.61,1.500,9.3,0.4,4.2,11.3,2.71
12,Rk,Player,Age,G,,,R,H,,,HR,,,,BB,SO,,,,,,,HBP,,,IBB,Pos,Awards,COL,WAR,W,L,W-L%,ERA,GS,GF,CG,SHO,SV,IP,ER,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
13,12,Peter Lambert,27,28,,,42,73,,,7,,,,29,50,,,,,,,2,,,2,,,COL,-0.5,2,5,.286,5.72,3,7,0,0,0,61.1,39,0,5,280,81,4.54,1.663,10.7,1.0,4.3,7.3,1.72
14,13,Anthony Molina,22,35,,,46,72,,,5,,,,22,41,,,,,,,2,,,1,,,COL,-0.6,1,1,.500,6.79,1,17,0,0,0,59.2,45,0,5,264,68,4.09,1.575,10.9,0.8,3.3,6.2,1.86
15,14,Jake Bird,28,35,,,21,43,,,5,,,,25,31,,,,,,,4,,,1,,,COL,0.3,2,2,.500,4.50,0,5,0,0,1,40.0,20,0,1,185,103,5.42,1.700,9.7,1.1,5.6,7.0,1.24
16,15,Tanner Gordon,26,8,,,34,53,,,10,,,,6,26,,,,,,,2,,,0,,,COL,-1.1,0,6,.000,8.65,8,0,0,0,0,34.1,33,0,0,160,54,6.14,1.718,13.9,2.6,1.6,6.8,4.33
17,16,Angel Chivilli,21,30,,,17,31,,,7,,,,10,28,,,,,,,1,,,0,,,COL,0.2,2,3,.400,4.55,0,10,0,0,1,31.2,16,0,0,133,102,5.31,1.295,8.8,2.0,2.8,8.0,2.80
18,17,Bradley Blalock,23,6,,,22,35,,,4,,,,19,20,,,,,,,1,,,0,,,COL,-0.3,1,3,.250,6.07,6,0,0,0,0,29.2,20,0,0,143,77,5.59,1.820,10.6,1.2,5.8,6.1,1.05
19,18,Noah Davis,27,9,,,15,31,,,3,,,,7,15,,,,,,,0,,,0,,,COL,-0.2,0,0,,5.75,0,2,0,0,0,20.1,13,0,0,96,81,4.64,1.869,13.7,1.3,3.1,6.6,2.14
20,19,Jeff Criswell,25,13,,,6,20,,,4,,,,9,27,,,,,,,1,,,0,,,COL,0.6,1,0,1.000,2.75,0,1,0,0,0,19.2,6,0,0,87,170,4.59,1.475,9.2,1.8,4.1,12.4,3.00
21,20,Seth Halvorsen,24,12,,,3,8,,,2,,,,2,13,,,,,,,1,,,0,,,COL,0.6,2,1,.667,1.46,0,8,0,0,2,12.1,2,1,0,46,323,3.90,0.811,5.8,1.5,1.5,9.5,6.50
22,21,Antonio Senzatela,29,3,,,10,15,,,3,,,,8,7,,,,,,,0,,,0,,,COL,0.0,0,1,.000,6.57,3,0,0,0,0,12.1,9,1,0,54,72,7.14,1.865,10.9,2.2,5.8,5.1,0.88
23,22,Luis Peralta*,23,15,,,1,7,,,0,,,,5,14,,,,,,,2,,,0,,,COL,0.8,0,0,,0.73,0,1,0,0,0,12.1,1,0,2,49,646,2.60,0.973,5.1,0.0,3.6,10.2,2.80
24,23,Josh Rogers*,29,6,,,8,15,,,1,,,,3,3,,,,,,,2,,,1,,,COL,-0.1,2,0,1.000,6.55,0,2,0,0,0,11.0,8,0,0,50,72,5.17,1.636,12.3,0.8,2.5,2.5,1.00
25,24,Jaden Hill,24,9,,,7,8,,,2,,,,4,6,,,,,,,2,,,0,,,COL,0.0,0,0,,5.06,0,2,0,0,0,10.2,6,0,1,45,94,6.17,1.125,6.8,1.7,3.4,5.1,1.50
26,25,Geoff Hartlieb,30,5,,,10,13,,,1,,,,4,7,,,,,,,0,,,1,,,COL,-0.4,0,0,,9.00,0,0,0,0,0,9.0,9,1,2,44,53,4.39,1.889,13.0,1.0,4.0,7.0,1.75
27,26,Matt Carasiti,32,7,,,10,16,,,2,,,,3,7,,,,,,,1,,,0,,,COL,-0.5,0,1,.000,10.38,0,1,0,0,0,8.2,10,0,0,43,46,5.94,2.192,16.6,2.1,3.1,7.3,2.33
28,27,GermÃ¡n MÃ¡rquez,29,1,,,3,5,,,1,,,,4,3,,,,,,,0,,,0,,,COL,0.0,0,0,,6.75,1,0,0,0,0,4.0,3,0,0,20,74,7.92,2.250,11.3,2.3,9.0,6.8,0.75
29,28,Riley Pint,26,4,,,8,5,,,2,,,,5,7,,,,,,,2,,,0,,,COL,-0.4,0,0,,21.60,0,1,0,0,0,3.1,8,0,4,22,23,13.07,3.000,13.5,5.4,13.5,18.9,1.40
30,29,John Curtiss,31,3,,,4,6,,,2,,,,0,1,,,,,,,0,,,0,,,COL,-0.2,0,0,,15.43,0,2,0,0,0,2.1,4,0,0,12,34,13.45,2.571,23.1,7.7,0.0,3.9,
31,30,Lucas Gilbreath*,28,3,,,6,7,,,1,,,,1,0,,,,,,,1,,,0,,,COL,-0.4,0,0,,54.00,0,0,0,0,0,1.0,6,0,0,12,11,22.17,8.000,63.0,9.0,9.0,0.0,0.00
32,31,Chasen Shreve*,33,1,,,0,1,,,0,,,,0,0,,,,,,,0,,,0,,,COL,0.1,0,0,,0.00,0,0,0,0,0,1.0,0,0,0,4,,3.17,1.000,9.0,0.0,0.0,0.0,
33,32,Matt Koch,33,2,,,4,3,,,1,,,,1,0,,,,,,,0,,,0,,,COL,-0.4,0,0,,81.00,0,1,0,0,1,0.1,3,0,0,5,11,51.17,12.000,81.0,27.0,27.0,0.0,0.00
34,33,Evan Justice*,25,1,,,0,0,,,0,,,,1,1,,,,,,,0,,,0,,,COL,0.0,0,0,,0.00,0,1,0,0,0,0.1,0,0,0,2,,6.17,3.000,0.0,0.0,27.0,27.0,1.00
35,,Team Totals,,162,,,929,1604,,,221,,,,563,1118,,,,,,,66,,,12,,,COL,-0.4,61,101,.377,5.48,162,162,0,0,37,1426.2,869,4,59,6322,84,4.94,1.519,10.1,1.4,3.6,7.1,1.99
